DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
2019-11-29,115.7,VIC,115.7,116.1,114.5,205040.0
2019-11-28,115.7,VIC,115.1,116.0,114.3,232980.0
2019-11-27,115.6,VIC,115.2,116.3,115.1,304630.0
2019-11-26,115.2,VIC,116.0,116.0,115.1,1027110.0
2019-11-25,116.0,VIC,116.2,116.2,115.5,234180.0
2019-11-22,116.2,VIC,115.9,116.9,115.3,308940.0
2019-11-21,115.3,VIC,117.0,117.0,113.8,1567980.0
2019-11-20,116.0,VIC,117.2,117.2,116.0,705410.0
2019-11-19,117.1,VIC,118.0,118.2,116.8,491510.0
2019-11-18,118.1,VIC,119.8,119.8,117.9,267820.0
2019-11-15,119.6,VIC,119.2,120.8,118.8,238410.0
2019-11-14,119.3,VIC,119.0,119.8,118.8,250100.0
2019-11-13,119.0,VIC,118.9,119.4,118.4,323490.0
2019-11-12,119.4,VIC,118.9,119.9,118.6,158520.0
2019-11-11,118.9,VIC,120.5,120.5,118.9,281300.0
2019-11-08,120.5,VIC,121.6,121.6,120.0,492950.0
2019-11-07,120.8,VIC,122.0,122.3,120.8,246740.0
2019-11-06,121.9,VIC,121.5,122.5,121.0,517800.0
2019-11-05,121.5,VIC,121.0,122.0,120.9,260520.0
2019-11-04,121.7,VIC,122.5,122.5,120.7,309680.0
2019-11-01,122.5,VIC,120.0,122.5,119.5,749070.0
2019-10-31,119.0,VIC,120.0,120.4,119.0,840720.0
2019-10-30,119.6,VIC,118.0,119.9,117.8,600930.0
2019-10-29,117.8,VIC,117.7,117.9,117.4,187020.0
2019-10-28,117.7,VIC,117.0,118.1,116.7,268360.0
2019-10-25,117.2,VIC,117.0,117.4,116.7,293710.0
2019-10-24,117.2,VIC,117.1,117.2,116.5,396910.0
2019-10-23,117.1,VIC,116.8,117.5,116.8,130200.0
2019-10-22,116.8,VIC,118.0,118.0,116.8,175690.0
2019-10-21,116.9,VIC,117.0,118.3,116.0,205580.0
2019-10-18,117.0,VIC,117.0,117.0,116.5,261460.0
2019-10-17,117.0,VIC,117.9,118.5,116.9,479110.0
2019-10-16,118.0,VIC,119.0,119.0,117.7,224670.0
2019-10-15,118.4,VIC,118.0,119.3,118.0,222070.0
2019-10-14,118.0,VIC,118.5,119.8,117.5,358150.0
2019-10-11,118.0,VIC,117.5,118.0,116.7,328950.0
2019-10-10,116.9,VIC,117.5,117.7,116.8,273470.0
2019-10-09,117.0,VIC,116.9,118.3,116.7,221530.0
2019-10-08,117.1,VIC,117.2,117.3,116.4,353740.0
2019-10-07,117.0,VIC,118.0,118.1,116.5,467120.0
2019-10-04,118.0,VIC,118.0,118.7,117.7,249050.0
2019-10-03,118.0,VIC,117.2,118.0,117.1,650460.0
2019-10-02,118.0,VIC,119.9,120.5,118.0,545260.0
2019-10-01,119.9,VIC,120.5,120.9,119.7,151960.0
2019-09-30,119.8,VIC,120.0,121.2,119.6,308680.0
2019-09-27,119.8,VIC,119.0,120.3,118.8,264300.0
2019-09-26,119.0,VIC,120.0,120.0,118.8,334000.0
2019-09-25,119.7,VIC,120.1,120.3,119.0,256590.0
2019-09-24,120.1,VIC,119.0,120.4,119.0,258080.0
2019-09-23,119.0,VIC,119.5,120.4,118.9,478830.0
2019-09-20,119.4,VIC,121.4,121.9,119.4,1827050.0
2019-09-19,121.5,VIC,122.5,122.8,121.4,345240.0
2019-09-18,122.2,VIC,122.5,122.8,122.1,181830.0
2019-09-17,122.8,VIC,122.1,123.8,122.0,416830.0
2019-09-16,122.8,VIC,122.0,124.7,122.0,330670.0
2019-09-13,122.4,VIC,122.1,122.9,120.8,278500.0
2019-09-12,121.5,VIC,121.5,122.1,121.3,188180.0
2019-09-11,121.5,VIC,122.0,122.8,121.0,176620.0
2019-09-10,122.0,VIC,123.0,123.2,122.0,247180.0
2019-09-09,122.6,VIC,121.9,122.8,121.1,165730.0
