DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
2018-11-30,5.2,FLC,5.22,5.24,5.16,2096970.0
2018-11-29,5.23,FLC,5.27,5.31,5.23,4407670.0
2018-11-28,5.26,FLC,5.27,5.3,5.25,2873250.0
2018-11-27,5.27,FLC,5.3,5.35,5.27,4104620.0
2018-11-26,5.28,FLC,5.25,5.31,5.25,3617470.0
2018-11-23,5.28,FLC,5.32,5.35,5.28,3195740.0
2018-11-22,5.31,FLC,5.35,5.38,5.31,3441920.0
2018-11-21,5.3,FLC,5.25,5.33,5.24,5192700.0
2018-11-20,5.38,FLC,5.32,5.41,5.3,4366370.0
2018-11-19,5.41,FLC,5.3,5.45,5.3,4721300.0
2018-11-16,5.26,FLC,5.29,5.33,5.07,1.943295E7
2018-11-15,5.22,FLC,5.48,5.51,5.17,1.507983E7
2018-11-14,5.48,FLC,5.64,5.75,5.48,5344960.0
2018-11-13,5.65,FLC,5.7,5.84,5.65,7908480.0
2018-11-12,5.6,FLC,5.6,5.71,5.59,5548440.0
2018-11-09,5.79,FLC,5.99,6.03,5.76,1.635535E7
2018-11-08,5.68,FLC,5.6,5.78,5.55,1.605899E7
2018-11-07,5.41,FLC,5.19,5.41,5.12,5846360.0
2018-11-06,5.19,FLC,5.21,5.27,5.17,4114320.0
2018-11-05,5.19,FLC,5.26,5.27,5.12,4214490.0
2018-11-02,5.26,FLC,5.01,5.26,5.01,5864920.0
2018-11-01,4.98,FLC,5.01,5.08,4.98,4570230.0
2018-10-31,5.01,FLC,4.95,5.06,4.95,4531270.0
2018-10-30,4.94,FLC,4.99,5.03,4.94,3730360.0
2018-10-29,5.0,FLC,5.07,5.07,4.99,5725220.0
2018-10-26,5.02,FLC,5.15,5.16,5.02,5815780.0
2018-10-25,5.08,FLC,5.1,5.15,5.02,5844450.0
2018-10-24,5.25,FLC,5.25,5.34,5.23,3080600.0
2018-10-23,5.25,FLC,5.3,5.38,5.2,9081960.0
2018-10-22,5.25,FLC,5.28,5.34,5.22,4689200.0
2018-10-19,5.25,FLC,5.3,5.3,5.21,3561460.0
2018-10-18,5.32,FLC,5.4,5.41,5.32,2952870.0
2018-10-17,5.41,FLC,5.49,5.5,5.4,3363430.0
2018-10-16,5.4,FLC,5.38,5.45,5.36,3373030.0
2018-10-15,5.37,FLC,5.5,5.5,5.37,5471210.0
2018-10-12,5.48,FLC,5.39,5.5,5.23,9774840.0
2018-10-11,5.39,FLC,5.46,5.58,5.39,2.232353E7
2018-10-10,5.79,FLC,5.78,5.81,5.74,8645450.0
2018-10-09,5.73,FLC,6.0,6.01,5.72,2.184518E7
2018-10-08,6.04,FLC,6.06,6.1,6.03,5494020.0
2018-10-05,6.06,FLC,6.09,6.19,6.06,6990350.0
