DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
2019-11-29,4.65,FLC,4.7,4.77,4.65,5694220.0
2019-11-28,4.7,FLC,4.81,4.85,4.69,8842880.0
2019-11-27,4.75,FLC,4.52,4.81,4.51,1.612962E7
2019-11-26,4.5,FLC,4.56,4.59,4.49,6598360.0
2019-11-25,4.45,FLC,4.59,4.6,4.45,8013750.0
2019-11-22,4.59,FLC,4.56,4.7,4.46,9240090.0
2019-11-21,4.56,FLC,4.6,4.79,4.52,1.052765E7
2019-11-20,4.61,FLC,4.61,4.61,4.49,2.760387E7
2019-11-19,4.31,FLC,4.31,4.31,4.31,2512570.0
2019-11-18,4.03,FLC,4.2,4.29,3.94,1.335025E7
2019-11-15,4.16,FLC,4.5,4.5,4.16,1.859544E7
2019-11-14,4.47,FLC,4.5,4.56,4.47,6523970.0
2019-11-13,4.48,FLC,4.53,4.58,4.47,7146840.0
2019-11-12,4.49,FLC,4.45,4.59,4.44,6104700.0
2019-11-11,4.47,FLC,4.62,4.62,4.46,8047210.0
2019-11-08,4.59,FLC,4.53,4.64,4.51,8673800.0
2019-11-07,4.51,FLC,4.63,4.69,4.48,1.236473E7
2019-11-06,4.63,FLC,4.66,4.84,4.52,1.660392E7
2019-11-05,4.7,FLC,4.95,5.04,4.7,1.217511E7
2019-11-04,4.81,FLC,4.8,4.81,4.74,1.470632E7
2019-11-01,4.5,FLC,4.42,4.75,4.42,2.624961E7
2019-10-31,4.75,FLC,4.78,4.95,4.75,2.19552E7
2019-10-30,5.1,FLC,5.01,5.26,5.01,1.820403E7
2019-10-29,5.01,FLC,5.01,5.01,4.78,3.143144E7
2019-10-28,4.69,FLC,4.48,4.69,4.4,1.177082E7
2019-10-25,4.39,FLC,4.28,4.4,4.23,8441070.0
2019-10-24,4.31,FLC,4.28,4.49,4.2,9361400.0
2019-10-23,4.29,FLC,4.52,4.66,4.29,2.54625E7
2019-10-22,4.61,FLC,5.29,5.29,4.61,4.684063E7
2019-10-21,4.95,FLC,4.95,4.95,4.9,1.025691E7
2019-10-18,4.63,FLC,4.48,4.63,4.47,1.670624E7
2019-10-17,4.33,FLC,4.1,4.33,4.06,2.09339E7
2019-10-16,4.05,FLC,4.05,4.05,3.9,3.069679E7
2019-10-15,3.79,FLC,3.79,3.79,3.79,2782530.0
2019-10-14,3.55,FLC,3.37,3.55,3.35,2929160.0
2019-10-11,3.32,FLC,3.31,3.33,3.29,2352240.0
2019-10-10,3.32,FLC,3.32,3.34,3.29,5038390.0
2019-10-09,3.33,FLC,3.33,3.35,3.29,2306980.0
2019-10-08,3.32,FLC,3.4,3.4,3.29,6947060.0
2019-10-07,3.4,FLC,3.5,3.52,3.35,9833890.0
2019-10-04,3.5,FLC,3.56,3.57,3.49,5044100.0
2019-10-03,3.55,FLC,3.58,3.6,3.55,2687960.0
2019-10-02,3.59,FLC,3.63,3.65,3.59,2546760.0
2019-10-01,3.63,FLC,3.64,3.65,3.61,3196310.0
2019-09-30,3.62,FLC,3.66,3.67,3.62,2260400.0
2019-09-27,3.63,FLC,3.66,3.66,3.62,2173940.0
2019-09-26,3.64,FLC,3.64,3.68,3.62,2638620.0
2019-09-25,3.62,FLC,3.65,3.66,3.62,1441080.0
2019-09-24,3.65,FLC,3.61,3.69,3.6,4930770.0
2019-09-23,3.61,FLC,3.62,3.63,3.6,2554910.0
2019-09-20,3.61,FLC,3.64,3.64,3.61,2273030.0
2019-09-19,3.63,FLC,3.64,3.66,3.62,1596580.0
2019-09-18,3.63,FLC,3.62,3.73,3.6,4233990.0
2019-09-17,3.62,FLC,3.61,3.63,3.6,1593020.0
2019-09-16,3.63,FLC,3.62,3.66,3.61,2472760.0
2019-09-13,3.61,FLC,3.64,3.65,3.61,2315350.0
2019-09-12,3.64,FLC,3.59,3.64,3.58,2422520.0
2019-09-11,3.58,FLC,3.61,3.62,3.57,2377470.0
2019-09-10,3.61,FLC,3.61,3.65,3.6,2839850.0
2019-09-09,3.61,FLC,3.65,3.67,3.6,2672800.0
2019-09-06,3.67,FLC,3.7,3.75,3.64,4277810.0
2019-09-05,3.6,FLC,3.66,3.69,3.59,5224640.0
2019-09-04,3.67,FLC,3.72,3.73,3.65,4199230.0
2019-09-03,3.73,FLC,3.8,3.84,3.72,3718640.0
2019-08-30,3.8,FLC,3.84,3.85,3.79,5127830.0
2019-08-29,3.83,FLC,3.87,3.88,3.83,2586170.0
2019-08-28,3.86,FLC,3.89,3.89,3.86,1561850.0
2019-08-27,3.87,FLC,3.88,3.91,3.86,3273020.0
2019-08-26,3.87,FLC,3.89,3.9,3.87,3109610.0
2019-08-23,3.9,FLC,3.91,3.92,3.88,2375670.0
2019-08-22,3.9,FLC,3.9,3.91,3.88,2678640.0
2019-08-21,3.88,FLC,3.91,3.91,3.86,3513410.0
2019-08-20,3.9,FLC,3.9,3.93,3.88,2317380.0
2019-08-19,3.89,FLC,3.9,3.94,3.87,2773670.0
2019-08-16,3.9,FLC,3.9,3.96,3.9,2337790.0
2019-08-15,3.9,FLC,3.9,3.93,3.86,6661790.0
2019-08-14,3.96,FLC,4.08,4.11,3.96,3564520.0
2019-08-13,4.05,FLC,4.04,4.05,3.99,3793150.0
2019-08-12,4.06,FLC,4.16,4.17,4.05,4901900.0
2019-08-09,4.18,FLC,4.21,4.26,4.18,5564270.0
2019-08-08,4.17,FLC,4.0,4.18,4.0,7853210.0
2019-08-07,3.99,FLC,3.9,4.02,3.89,6563340.0
2019-08-06,3.81,FLC,3.83,3.85,3.8,6323170.0
2019-08-05,3.91,FLC,4.0,4.01,3.91,4686190.0
2019-08-02,4.0,FLC,4.0,4.02,3.97,5357930.0
2019-08-01,4.0,FLC,4.04,4.05,3.98,3932540.0
2019-07-31,4.03,FLC,4.07,4.08,3.99,7982800.0
2019-07-30,4.08,FLC,4.12,4.14,4.08,2763800.0
2019-07-29,4.11,FLC,4.13,4.2,4.11,2091390.0
2019-07-26,4.12,FLC,4.12,4.22,4.1,4123300.0
2019-07-25,4.12,FLC,4.15,4.16,4.1,4666720.0
2019-07-24,4.14,FLC,4.14,4.19,4.13,4051700.0
2019-07-23,4.17,FLC,4.23,4.23,4.17,3102710.0
2019-07-22,4.2,FLC,4.24,4.25,4.2,3168510.0
2019-07-19,4.23,FLC,4.25,4.28,4.23,2523650.0
2019-07-18,4.25,FLC,4.25,4.28,4.24,2646020.0
2019-07-17,4.25,FLC,4.28,4.3,4.25,2699050.0
2019-07-16,4.26,FLC,4.34,4.36,4.25,5241210.0
2019-07-15,4.33,FLC,4.34,4.38,4.32,2348850.0
2019-07-12,4.32,FLC,4.4,4.46,4.32,5623750.0
2019-07-11,4.4,FLC,4.25,4.45,4.22,1.054784E7
2019-07-10,4.22,FLC,4.22,4.25,4.22,2005490.0
2019-07-09,4.21,FLC,4.24,4.24,4.21,2195600.0
2019-07-08,4.24,FLC,4.22,4.24,4.2,3363340.0
2019-07-05,4.22,FLC,4.23,4.25,4.21,1956390.0
2019-07-04,4.22,FLC,4.2,4.25,4.2,2743590.0
2019-07-03,4.19,FLC,4.21,4.22,4.17,2579690.0
2019-07-02,4.2,FLC,4.27,4.27,4.2,2779140.0
2019-07-01,4.25,FLC,4.23,4.27,4.22,2241660.0
2019-06-28,4.2,FLC,4.2,4.24,4.18,4712140.0
2019-06-27,4.21,FLC,4.3,4.31,4.21,6200500.0
2019-06-26,4.29,FLC,4.32,4.34,4.29,3370220.0
2019-06-25,4.32,FLC,4.31,4.35,4.31,3432030.0
2019-06-24,4.31,FLC,4.35,4.37,4.31,2266930.0
2019-06-21,4.34,FLC,4.36,4.38,4.33,2320180.0
2019-06-20,4.35,FLC,4.33,4.35,4.32,2989590.0
2019-06-19,4.33,FLC,4.35,4.37,4.33,3435650.0
2019-06-18,4.33,FLC,4.36,4.38,4.32,2254580.0
2019-06-17,4.35,FLC,4.44,4.44,4.35,2770290.0
2019-06-14,4.41,FLC,4.37,4.45,4.37,3794900.0
2019-06-13,4.36,FLC,4.35,4.4,4.33,2793150.0
2019-06-12,4.35,FLC,4.32,4.41,4.3,5281290.0
2019-06-11,4.32,FLC,4.36,4.38,4.32,2534620.0
2019-06-10,4.35,FLC,4.4,4.4,4.35,4315650.0
2019-06-07,4.37,FLC,4.36,4.4,4.35,3012430.0
2019-06-06,4.36,FLC,4.4,4.41,4.32,2337030.0
2019-06-05,4.38,FLC,4.36,4.43,4.35,4663390.0
2019-06-04,4.35,FLC,4.45,4.47,4.35,7087480.0
2019-06-03,4.45,FLC,4.52,4.53,4.45,4078150.0
2019-05-31,4.52,FLC,4.52,4.59,4.51,2971770.0
2019-05-30,4.53,FLC,4.51,4.53,4.51,2696990.0
2019-05-29,4.53,FLC,4.53,4.56,4.51,1853780.0
2019-05-28,4.54,FLC,4.6,4.6,4.52,2043750.0
2019-05-27,4.56,FLC,4.55,4.59,4.54,2833270.0
2019-05-24,4.55,FLC,4.56,4.58,4.54,3139040.0
2019-05-23,4.58,FLC,4.6,4.6,4.56,2323710.0
2019-05-22,4.6,FLC,4.63,4.65,4.59,2748600.0
2019-05-21,4.62,FLC,4.7,4.71,4.62,3473190.0
2019-05-20,4.67,FLC,4.66,4.7,4.63,3987120.0
2019-05-17,4.66,FLC,4.75,4.75,4.66,3241760.0
2019-05-16,4.7,FLC,4.69,4.83,4.68,8741680.0
2019-05-15,4.66,FLC,4.54,4.66,4.52,4317090.0
2019-05-14,4.5,FLC,4.53,4.54,4.48,4617920.0
2019-05-13,4.54,FLC,4.6,4.6,4.52,4896750.0
2019-05-10,4.52,FLC,4.55,4.55,4.5,4024550.0
2019-05-09,4.5,FLC,4.56,4.61,4.5,3569620.0
2019-05-08,4.55,FLC,4.6,4.61,4.54,5169050.0
2019-05-07,4.65,FLC,4.69,4.71,4.59,7055010.0
2019-05-06,4.65,FLC,4.76,4.79,4.64,8669660.0
2019-05-03,4.79,FLC,4.81,4.86,4.77,6216380.0
2019-05-02,4.81,FLC,4.88,4.89,4.8,5726050.0
2019-04-26,4.88,FLC,4.86,4.9,4.85,2490540.0
2019-04-25,4.86,FLC,4.9,4.92,4.85,3494620.0
2019-04-24,4.9,FLC,4.82,4.9,4.8,5999410.0
2019-04-23,4.81,FLC,4.78,4.84,4.78,2295210.0
2019-04-22,4.8,FLC,4.89,4.9,4.79,6019980.0
2019-04-19,4.89,FLC,4.9,4.95,4.86,4844030.0
2019-04-18,4.89,FLC,5.0,5.02,4.86,6621690.0
2019-04-17,5.0,FLC,5.0,5.06,5.0,4531250.0
2019-04-16,5.01,FLC,5.07,5.08,5.0,8034980.0
2019-04-12,5.06,FLC,5.06,5.15,5.06,4660280.0
2019-04-11,5.05,FLC,5.08,5.09,5.05,4150870.0
2019-04-10,5.06,FLC,5.09,5.1,5.05,3799090.0
2019-04-09,5.08,FLC,5.14,5.15,5.08,5065250.0
2019-04-08,5.12,FLC,5.12,5.16,5.12,3042150.0
2019-04-05,5.12,FLC,5.13,5.15,5.1,7135220.0
2019-04-04,5.13,FLC,5.16,5.18,5.12,4538330.0
2019-04-03,5.15,FLC,5.18,5.18,5.14,3906690.0
2019-04-02,5.18,FLC,5.2,5.26,5.16,4643270.0
2019-04-01,5.16,FLC,5.17,5.2,5.15,4496950.0
2019-03-29,5.13,FLC,5.15,5.17,5.12,3407760.0
2019-03-28,5.12,FLC,5.1,5.16,5.1,2940430.0
2019-03-27,5.13,FLC,5.14,5.18,5.1,4033950.0
2019-03-26,5.11,FLC,5.14,5.16,5.1,4804890.0
2019-03-25,5.1,FLC,5.1,5.19,5.08,1.151486E7
2019-03-22,5.2,FLC,5.22,5.25,5.16,8059480.0
